band,song,model,ir,gain,mix,level,tone,revMix,delayMix,delayMs,delayFb,tremDepth,tremRate,eqLow,eqMid,eqHigh,revFb,revDamp
Scorpions,Wind Change,1,3,0.30,1.0,0.55,0.66,0.20,0,0,0,0,0,0,0,0,0,0
Chris Isaak,Wicked Game,1,3,0.16,1.0,0.60,0.55,0.42,0.22,350,0.20,0.50,3.5,0.57,0.38,0.60,0.80,0.42
Metallica,Sandman,4,7,0.86,1.0,0.48,0.55,0,0,0,0,0,0,0,0,0,0,0
Pink Floyd,Comf. Numb,6,2,0.62,1.0,0.55,0.55,0.30,0.45,430,0.40,0,0,0,0,0,0,0
AC/DC,Back Black,8,4,0.66,1.0,0.52,0.60,0,0,0,0,0,0,0,0,0,0,0
RHCP,Californ.,1,3,0.26,1.0,0.55,0.62,0.18,0,0,0,0,0,0,0,0,0,0
